Part/Designator;MPN/Seeed SKU;Qty
U1;STM32F303CCT6;1
C2,C3,C4,C5,C9,C14,C17,C18;CC0603KRX7R9BB104;8
C1;CC0603KRX5R6BB475;1
C8,C11;CC0603KRX7R9BB103;2
C12;CC0603KRX7R8BB105;1
R2,R1,R8,R5,R4;RC0603FR-074K7L;5
Y1;306010014;1
C6,C7;CC0603JRNPO9BN220;2
USB1;ST-USB-013A;1
R3;RC0603JR-071K5L;1
FB1;RC0603FR-070RL;1
C10;CC0603KRX5R6BB106;1
U2;CJA1117B-3.3;1
C13;CC0805MKX5R5BB226;1
U5;ADS1115IDGSR;1
U4;MCP6002T-I/SN;1
R18,R19;RC0603FR-071ML;2
R16,R17;RC0603FR-07220KL;2
R9,R10,R20,R21,R22,R23;RC0603FR-07220RL;6
R13,R15,R11,R12,R7,R6;RC0603FR-0768KL;6
R14;RC0603FR-071KL;1
U3;TL084IDR;1
D1,D2,D3;ORH-G36A;3
D4;ORH-YG36G;1
J3,J4;1725698;2
